time,wind_speed,outdoor_temp,vane_position,rotor_speed_rpm,pitch_angle,turbine_altitude,blade_length,swept_area,wind_power,,,,,,,,
1/19/2015 20:20,4.9899998,0.07,-2.04,9.71,-0.95999998,96,35,3846.5,0.1175716,,,,,,,,
1/19/2015 21:10,4.5700002,-0.079999998,9.3800001,9.8999996,-0.81999999,96,35,3846.5,0.09031284,,,,,,,,
1/19/2015 23:00,4.9200001,-0.81,11.03,9.9899998,-0.99000001,96,35,3846.5,0.112692802,,,,,,,,
1/20/2015 5:50,0.88,-1.11,10.45,0,90,96,35,3846.5,0.000644835,,,,,,,,
1/20/2015 7:30,0,-1.09,108.97,0,90,96,35,3846.5,0,,,,,,,,
1/20/2015 8:30,0.31,-0.69999999,70.279999,0,90,96,35,3846.5,2.81894E-05,,,,,,,,
1/21/2015 3:40,2.2,-1.04,2.0899999,1.04,45,96,35,3846.5,0.010075553,,,,,,,,
1/21/2015 17:20,6.27,0.85000002,7.8000002,14.76,-0.99000001,96,35,3846.5,0.233240233,,,,,,,,
1/21/2015 23:10,6.77,0.1,5.8499999,15.92,-0.99000001,96,35,3846.5,0.2936073,,,,,,,,
1/22/2015 13:50,3.04,0.57999998,-2.76,9.2299995,0.41,96,35,3846.5,0.026584078,,,,,,,,
1/22/2015 19:50,3.1099999,-0.079999998,6.3299999,2.53,35.889999,96,35,3846.5,0.028463085,,,,,,,,
1/22/2015 21:30,2.71,-0.02,6.2800002,5.3899999,22.549999,96,35,3846.5,0.018832532,,,,,,,,
1/23/2015 0:10,3.1700001,-0.69999999,20.59,9.2299995,0.28999999,96,35,3846.5,0.030142458,,,,,,,,
1/23/2015 14:20,4.1599998,1.36,1.98,9.2399998,-0.43000001,96,35,3846.5,0.068120962,,,,,,,,
1/24/2015 1:20,4.8000002,-0.62,8.1300001,10,-0.99000001,96,35,3846.5,0.104646477,,,,,,,,
1/24/2015 3:50,5.6799998,-0.41999999,-9.1199999,11.27,-0.99000001,96,35,3846.5,0.173398687,,,,,,,,
1/24/2015 6:40,6.48,-0.61000001,11.4,14.59,-0.99000001,96,35,3846.5,0.257469543,,,,,,,,
1/24/2015 7:10,6.7600002,-0.86000001,-3.0899999,14.62,-0.99000001,96,35,3846.5,0.292308181,,,,,,,,
1/24/2015 9:50,6.1199999,-0.49000001,13.67,13.75,-0.99000001,96,35,3846.5,0.216897771,,,,,,,,
1/24/2015 10:30,5.9000001,-0.090000004,6.0100002,13.34,-0.99000001,96,35,3846.5,0.194337629,,,,,,,,
1/24/2015 13:40,6.7399998,-0.38,-0.97000003,15.75,-0.99000001,96,35,3846.5,0.289721346,,,,,,,,
1/24/2015 21:20,6.3600001,-0.059999999,2.1600001,14.97,-0.99000001,96,35,3846.5,0.243428942,,,,,,,,
1/24/2015 22:40,7.2800002,-0.02,-6.3499999,15.36,-0.99000001,96,35,3846.5,0.365085864,,,,,,,,
1/25/2015 1:20,5.5599999,0.17,0.67000002,13.13,-0.99000001,96,35,3846.5,0.162639187,,,,,,,,
1/25/2015 5:00,6.0799999,0,-2.1800001,12.54,-0.99000001,96,35,3846.5,0.21267261,,,,,,,,
1/25/2015 6:50,5.5300002,1.08,8.8900003,12.22,-0.99000001,96,35,3846.5,0.160020744,,,,,,,,
1/25/2015 11:00,2.3800001,3.48,-25.360001,0.50999999,45,96,35,3846.5,0.012756507,,,,,,,,
1/25/2015 16:20,3.46,0.38999999,-7.0900002,1.47,45,96,35,3846.5,0.039194862,,,,,,,,
1/26/2015 5:10,5.5300002,1.2,-1.9299999,13.76,-0.99000001,96,35,3846.5,0.160020744,,,,,,,,
1/26/2015 19:50,6.02,4.4699998,-1.35,13.77,-0.99000001,96,35,3846.5,0.206438321,,,,,,,,
1/27/2015 1:00,5.1199999,3.49,3.8900001,11.09,-0.99000001,96,35,3846.5,0.127002041,,,,,,,,
